S. No.,Month,Stage,Continent,HQ,Type of RE 1,Type of RE 2,Type of RE 3,Type of RE 4,Business Model 1,Business Model 2,Business Model 3,Business Model 4,PropTech Vertical 1,PropTech Vertical 2,PropTech Vertical 3,PropTech Vertical 4
1,January,Seed,Europe,UK,Residential,,,,,,,,Hybrid Letting Platform,,,
2,January,Seed,Europe,UK,Residential,Commercial,,,,,,,PropFinTech,,,
3,January,Seed,Europe,UK,Residential,,,,,,,,LegalTech,,,
4,January,Series A,Europe,Germany,Commercial,,,,,,,,ConTech,,,
5,January,Seed,Europe,UK,Commercial,Residential,,,,,,,ClimateTech,Smart Building,,
6,January,Series A,Europe,Belgium,Residential,Commercial,,,,,,,Smart Building,ClimateTech,,
7,January,Series B,North America,US,Residential,,,,,,,,PropFinTech,,,
8,January,Series A,North America,Canada,Commercial,,,,,,,,PropFinTech,,,
9,February,Series B,Europe,Germany,Residential,,,,,,,,Property Management,,,
10,February,Series B,North America,US,Commercial,,,,,,,,Property Management,ClimateTech,Smart Building,
11,February,Series A,Europe,Switzerland,Residential,,,,,,,,Smart Building,,,
12,February,Seed,Europe,UK,Residential,,,,,,,,Property Management,,,
13,February,Seed,North America,Canada,Hotel,Residential,,,,,,,HospitalityTech,,,
14,February,Series A,Europe,France,Residential,,,,,,,,Property Management,,,
15,February,Series A,Europe,UK,Residential,,,,Marketplace,,,,ConTech,,,
16,February,Seed,Europe,UK,Infrastructure,,,,eCommerce Platform,,,,ConTech,,,
17,February,Series A,North America,US,Commercial,Residential,,,,,,,Smart Building,,,
18,February,Seed,North America,US,Residential,,,,,,,,Co-Living,,,
19,February,Seed,North America,US,Residential,,,,,,,,PropFinTech,,,
20,February,Series A,Europe,UK,Commercial,Residential,,,,,,,ConTech,,,
21,February,Seed,Europe,UK,Commercial,,,,,,,,PropFinTech,,,
22,February,Seed,Europe,UK,Residential,,,,eCommerce Platform,,,,PropFinTech,Property Management,,
23,February,Seed,Middle East,Israel,Hotel,,,,SaaS,,,,HospitalityTech,,,
24,February,Growth,North America,US,Infrastructure,,,,,,,,ClimateTech,,,
25,February,Series A,North America,US,Residential,,,,,,,,PropFinTech,LegalTech,,
26,February,Seed,North America,Canada,Residential,,,,,,,,PropFinTech,,,
27,February,Growth,Europe,UK,Commercial,Hotel,,,,,,,HospitalityTech,,,
28,February,Seed,Europe,UK,Residential,,,,,,,,ClimateTech,,,
29,February,Seed,Middle East,Turkey,Commercial,,,,,,,,PropFinTech,,,
30,February,Series A,Europe,France,Residential,,,,B2B2C,,,,PropFinTech,LegalTech,,
31,February,Series A,Europe,Finland,Residential,Commercial,,,,,,,ConTech,,,
32,February,Series A,Europe,UK,Commercial,,,,,,,,Smart Building,,,
33,February,Seed,Europe,Netherlands,Residential,,,,,,,,Smart Building,ClimateTech,,
34,February,Seed,Europe,UK,Residential,,,,,,,,Property Management,,,
35,February,Seed,Europe,France,Residential,Commercial,,,SaaS,,,,Smart Building,,,
36,February,Seed,Europe,Germany,Residential,,,,,,,,Co-Living,,,
37,February,Seed,Middle East,Cyprus,Residential,,,,SaaS,,,,Hybrid Letting Platform,,,
38,February,Series B,Europe,Germany,Residential,,,,eCommerce Platform,,,,Property Management,,,
39,February,Seed,APAC,Hong Kong,Residential,,,,,,,,FinTech,,,
40,February,Series A,Europe,UK,Commercial,,,,B2B,Marketplace,,,Co-Working,,,
41,February,Seed,Europe,UK,Residential,,,,,,,,PropFinTech,,,
42,February,Seed,Europe,France,Commercial,,,,,,,,Smart Building,,,
43,February,Seed,Europe,Spain,Residential,,,,,,,,Hybrid Letting Platform,,,
44,February,Growth,Europe,Finland,Residential,,,,,,,,Property Sales,,,
45,February,Seed,Europe,UK,Residential,,,,B2B2C,,,,ConTech,Property Sales,PropFinTech,
46,February,Series B,Europe,France,Residential,,,,eCommerce Platform,,,,Co-Living,,,
47,February,Series A,North America,US,Residential,Commercial,Hotel,,,,,,Smart City,,,
48,February,Seed,Europe,Germany,Residential,,,,,,,,ClimateTech,Smart Building,,
49,February,Growth,Africa,Ghana,Commercial,,,,,,,,PropFinTech,,,
50,February,Seed,Europe,UK,Residential,,,,,,,,PropFinTech,LegalTech,,
51,February,Seed,North America,US,Residential,,,,,,,,ConTech,Pre-Fab,,
52,February,Seed,Europe,UK,Residential,,,,,,,,Hybrid Letting Platform,Property Sales,,
53,February,Seed,Europe,UK,Residential,,,,B2B2C,,,,Property Sales,,,
54,February,Series A,Europe,Finland,Commercial,,,,,,,,Smart Building,ClimateTech,,
