Month,Continent,HQ,re1,re2,re3,re4,bm1,bm2,bm3,bm4,pv1,pv2,pv3,pv4,Stage
January,Europe,UK,Residential,,,,,,,,Hybrid Letting Platform,,,,Seed
January,Europe,UK,Residential,Commercial,,,,,,,PropFinTech,,,,Seed
January,Europe,UK,Residential,,,,,,,,LegalTech,,,,Seed
January,Europe,Germany,Commercial,,,,,,,,ConTech,,,,Series A
January,Europe,UK,Commercial,Residential,,,,,,,ClimateTech,Smart Building,,,Seed
January,Europe,Belgium,Residential,Commercial,,,,,,,Smart Building,ClimateTech,,,Series A
January,North America,US,Residential,,,,,,,,PropFinTech,,,,Series B
January,North America,Canada,Commercial,,,,,,,,PropFinTech,,,,Series A
February,Europe,Germany,Residential,,,,,,,,Property Management,,,,Series B
February,North America,US,Commercial,,,,,,,,Property Management,ClimateTech,Smart Building,,Series B
February,Europe,Switzerland,Residential,,,,,,,,Smart Building,,,,Series A
February,Europe,UK,Residential,,,,,,,,Property Management,,,,Seed
February,North America,Canada,Hotel,Residential,,,,,,,HospitalityTech,,,,Seed
February,Europe,France,Residential,,,,,,,,Property Management,,,,Series A
February,Europe,UK,Residential,,,,Marketplace,,,,ConTech,,,,Series A
February,Europe,UK,Infrastructure,,,,eCommerce Platform,,,,ConTech,,,,Seed
February,North America,US,Commercial,Residential,,,,,,,Smart Building,,,,Series A
February,North America,US,Residential,,,,,,,,Co-Living,,,,Seed
February,North America,US,Residential,,,,,,,,PropFinTech,,,,Seed
February,Europe,UK,Commercial,Residential,,,,,,,ConTech,,,,Series A
February,Europe,UK,Commercial,,,,,,,,PropFinTech,,,,Seed
February,Europe,UK,Residential,,,,eCommerce Platform,,,,PropFinTech,Property Management,,,Seed
February,Middle East,Israel,Hotel,,,,SaaS,,,,HospitalityTech,,,,Seed
February,North America,US,Infrastructure,,,,,,,,ClimateTech,,,,Growth
February,North America,US,Residential,,,,,,,,PropFinTech,LegalTech,,,Series A
February,North America,Canada,Residential,,,,,,,,PropFinTech,,,,Seed
February,Europe,UK,Commercial,Hotel,,,,,,,HospitalityTech,,,,Growth
February,Europe,UK,Residential,,,,,,,,ClimateTech,,,,Seed
February,Middle East,Turkey,Commercial,,,,,,,,PropFinTech,,,,Seed
February,Europe,France,Residential,,,,B2B2C,,,,PropFinTech,LegalTech,,,Series A
February,Europe,Finland,Residential,Commercial,,,,,,,ConTech,,,,Series A
